product_category,product_name,product_price
Blue Light Blocking Glasses,Jefferson,$2.99
Blue Light Blocking Glasses,Walla,$44.95
Blue Light Blocking Glasses,Wilsen,$29.95
Blue Light Blocking Glasses,Emma,$19.95
Blue Light Blocking Glasses,Asheboro,$29.95
Blue Light Blocking Glasses,Syracuse,$19.95
Blue Light Blocking Glasses,Carmelita,$54.95
Blue Light Blocking Glasses,Hattiesburg,$24.95
Blue Light Blocking Glasses,Jenny,$29.95
Blue Light Blocking Glasses,NewHaven,$29.95
Blue Light Blocking Glasses,Beck,$19.95
Blue Light Blocking Glasses,Margaret,$19.95
Blue Light Blocking Glasses,Nancy,$19.95
Blue Light Blocking Glasses,Bobosa,$29.95
Blue Light Blocking Glasses,Gloversville,$19.95
Blue Light Blocking Glasses,Harold,$35.95
Blue Light Blocking Glasses,Lansing,$29.95
Blue Light Blocking Glasses,Carllyle,$54.95
Blue Light Blocking Glasses,Park,$19.95
Blue Light Blocking Glasses,Everett,$34.95
Blue Light Blocking Glasses,Alston,$29.95
Blue Light Blocking Glasses,Madison,$19.95
Blue Light Blocking Glasses,Hubbard,$19.95
Blue Light Blocking Glasses,Cumberland,$5.95
Blue Light Blocking Glasses,Igemar,$29.95
Blue Light Blocking Glasses,Gill,$12.95
